"Id","Kind","Category","PlayerWorkflow","Operations","ControllerPath","TextEntry","HapticConfirmation","Implementation","Validation","Evidence"
"INTERFACE_STORAGE_EXT","NewUI","Inventory","Extended warehouse","Page storage; move, inspect and retrieve extended-slot items","D-pad or left stick grid focus; A pick/place; hold A drag; LB/RB page; Y details; B close; pointer fallback","N/A","Item move result server-confirmed","PointerFallback","PendingRuntime","NewUIStorageInventoryExt"
"INTERFACE_MIXINVENTORY","NewUI","Crafting","Chaos machine and synthesis","Move ingredients; select recipe; mix; socket option; cancel; inspect rate","D-pad or left stick grid focus; A pick/place; X mix/secondary; Y details; B cancel; pointer fallback","Numeric keyboard where quantity is requested","Mix success/failure server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIMixInventory; PacketFunctions SendChaosMachineMixRequest"
"INTERFACE_COMMAND","NewUI","Social","Character command menu","Party, trade, duel, guild, whisper, follow and other target commands","D-pad or left stick focus; A primary; X alternate; B close; pointer fallback","Controller keyboard when command needs a name","Command result server-confirmed where applicable","PointerFallback+ControllerKeyboard","PendingRuntime","NewUICommandWindow"
"INTERFACE_PET","NewUI","Character","Pet information and commands","Inspect pet stats; choose command mode; target; close","D-pad or left stick focus; A select; X command; Y details; B close; pointer fallback","N/A","Pet command and info server-confirmed","PointerFallback","PendingRuntime","NewUIPetInfoWindow"
"INTERFACE_NPCSHOP","NewUI","Shop","NPC shop","Browse items; buy; sell inventory items; repair one/all; inspect; close","D-pad or left stick grid focus; A buy/pick; X sell/repair; Y details; B close; pointer fallback","Numeric keyboard for quantity where supported","Buy, sell and repair result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUINPCShop; WSclient shop result handlers"
"INTERFACE_INVENTORY","NewUI","Inventory","Backpack and equipment","Move; equip; unequip; use; split; drop; repair; inspect; expand","D-pad or left stick grid focus; A pick/place/use; hold A drag; X secondary/split; Y details; B close; pointer fallback","Numeric keyboard for stack split","Item move/use/drop/repair result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIMyInventory; NewUIItemMng"
"INTERFACE_INVENTORY_EXT","NewUI","Inventory","Extended backpack","Page; move; use; split; drop; inspect extended-slot items","D-pad or left stick grid focus; A pick/place/use; hold A drag; X split; Y details; LB/RB page; B close; pointer fallback","Numeric keyboard for stack split","Item move/use/drop result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIInventoryExtension"
"INTERFACE_MYSHOP_INVENTORY","NewUI","Shop","Personal shop setup","Move items into shop; set price; edit shop name; open/close; remove item","D-pad or left stick grid focus; A pick/place; X price/remove; Y details; B close; pointer fallback","Numeric keyboard for price; Chinese keyboard for shop name","Open, close and price result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIMyShopInventory; PacketFunctions SendPlayerShop"
"INTERFACE_PURCHASESHOP_INVENTORY","NewUI","Shop","Other player's personal shop","Browse; inspect; buy; refresh; close","D-pad or left stick grid focus; A buy; Y details; LB/RB page; B close; pointer fallback","N/A","Purchase success/failure server-confirmed","PointerFallback","PendingRuntime","NewUIPurchaseShopInventory"
"INTERFACE_CHARACTER","NewUI","Character","Character stats","Browse stats; add points; master stats; inspect equipment-derived values","D-pad or left stick focus; A add; X alternate increment; Y details; LB/RB tabs; B close; pointer fallback","Numeric keyboard for bulk point allocation where available","Stat allocation result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUICharacterInfoWindow"
"INTERFACE_NPCBREEDER","NewUI","NPC","Pet breeder legacy dialog","Choose breeding or restoration action; supply item; confirm; cancel","D-pad or left stick focus; A confirm; X secondary; B cancel; pointer fallback","N/A","Operation result server-confirmed","PointerFallback","PendingRuntime","INTERFACE_LIST legacy window path"
"INTERFACE_SERVERDIVISION","NewUI","Session","Server division legacy dialog","Browse server divisions; choose; back","D-pad or left stick focus; A select; B back; pointer fallback","N/A","Connection result server-confirmed","PointerFallback","PendingRuntime","INTERFACE_LIST legacy window path"
"INTERFACE_DEVILSQUARE","NewUI","Event","Devil Square entry","Choose level; inspect requirements; enter; cancel","D-pad or left stick focus; A enter; Y details; B cancel; pointer fallback","N/A","Entry result server-confirmed","PointerFallback","PendingRuntime","NewUIEnterDevilSquare"
"INTERFACE_BLOODCASTLE","NewUI","Event","Blood Castle entry","Choose level; inspect requirements; enter; cancel","D-pad or left stick focus; A enter; Y details; B cancel; pointer fallback","N/A","Entry result server-confirmed","PointerFallback","PendingRuntime","NewUIBloodCastleEnter"
"INTERFACE_NPCGUILDMASTER","NewUI","Guild","Guild creation","Enter guild name; design emblem; create; cancel","D-pad or left stick focus; A draw/select/confirm; X erase/secondary; B cancel; pointer fallback","Controller keyboard for guild name","Create result server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","Guild/NewUIGuildMakeWindow"
"INTERFACE_GUARDSMAN","NewUI","Castle","Castle guardsman","Register or unregister siege; submit marks; inspect state; close","D-pad or left stick focus; A confirm; X secondary; Y details; B close; pointer fallback","Numeric keyboard for mark count where required","Castle operation result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIGuardWindow"
"INTERFACE_SENATUS","NewUI","Castle","Castle management senate","Browse gates/statues; buy; repair; upgrade; tax and treasury actions","D-pad or left stick focus; A confirm; X secondary; Y details; LB/RB tabs; B close; pointer fallback","Numeric keyboard for tax, amount or upgrade values","Castle operation result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUICastleWindow"
"INTERFACE_GATEKEEPER","NewUI","Castle","Castle gatekeeper","Inspect entrance settings or fees; enter; confirm; close","D-pad or left stick focus; A confirm/enter; X setting; Y details; B close; pointer fallback","Numeric keyboard for fee where requested","Setting/entry result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIGatemanWindow"
"INTERFACE_GATESWITCH","NewUI","Castle","Castle gate switch","Choose gate; open or close; cancel","D-pad or left stick focus; A toggle; B cancel; pointer fallback","N/A","Toggle result server-confirmed","PointerFallback","PendingRuntime","NewUIGateSwitchWindow"
"INTERFACE_CATAPULT","NewUI","Castle","Castle catapult","Choose target area; fire; cancel","D-pad or left stick focus; A fire; Y target details; B cancel; pointer fallback","N/A","Fire result server-confirmed","PointerFallback","PendingRuntime","NewUICatapultWindow"
"INTERFACE_REFINERY","NewUI","Crafting","Refinery legacy dialog","Move material; select refine action; confirm; cancel","D-pad or left stick focus; A pick/place/confirm; X refine; Y details; B cancel; pointer fallback","N/A","Refinery result server-confirmed","PointerFallback","PendingRuntime","INTERFACE_LIST legacy window path"
"INTERFACE_REFINERYINFO","NewUI","Crafting","Refinery information","Read rates and result information; acknowledge","D-pad scroll; A acknowledge; B close; pointer fallback","N/A","Confirm/cancel immediate","PointerFallback","PendingRuntime","INTERFACE_LIST legacy window path"
"INTERFACE_KANTURU2ND_ENTERNPC","NewUI","Event","Kanturu entry","Inspect event state; request entry; cancel","D-pad or left stick focus; A enter; Y details; B cancel; pointer fallback","N/A","Entry result server-confirmed","PointerFallback","PendingRuntime","NewUIKanturuEvent"
"INTERFACE_CURSEDTEMPLE_NPC","NewUI","Event","Cursed Temple entry","Choose room or level; submit ticket; enter; cancel","D-pad or left stick focus; A enter; Y details; B cancel; pointer fallback","N/A","Entry result server-confirmed","PointerFallback","PendingRuntime","NewUICursedTempleEnter"
"INTERFACE_CURSEDTEMPLE_GAMESYSTEM","NewUI","Event","Cursed Temple match","View score/state; use event skills; select targets","D-pad event skills; A objective interaction; RT skill; R3 target; pointer fallback","N/A","Event skill and combat result server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","NewUICursedTempleSystem"
"INTERFACE_CURSEDTEMPLE_RESULT","NewUI","Event","Cursed Temple result","Review result and reward; acknowledge","D-pad scroll; A acknowledge/reward; B close; pointer fallback","N/A","Reward result server-confirmed","PointerFallback","PendingRuntime","NewUICursedTempleResult"
"INTERFACE_CHATINPUTBOX","NewUI","Social","Chat input","Choose channel; enter message; whisper; send; cancel; history","A focus; View next field; Menu send; shoulder buttons candidates/history; B cancel; pointer fallback","Controller keyboard with simplified-pinyin candidates","Send immediate; server rejection uses failure feedback","ControllerKeyboard+PointerFallback","PendingRuntime","NewUIChatInputBox; ControllerKeyboard"
"INTERFACE_WINDOW_MENU","NewUI","System","System menu","Open character, inventory, quest, guild, party, options, logout and exit commands","D-pad or left stick focus; A open; B close; pointer fallback","N/A","Focus, confirm and cancel immediate","SemanticKeys+PointerFallback","PendingRuntime","NewUIWindowMenu"
"INTERFACE_OPTION","NewUI","System","Settings","Change graphics, sound, input, gamepad, haptics, frame cap and language; apply/cancel/test","D-pad or left stick focus; A toggle; left/right adjust; X reset/secondary; Y test/detail; LB/RB tabs; B back; pointer fallback","N/A","Setting-step, confirm/cancel and short/long rumble test immediate","SemanticKeys+PointerFallback","PendingRuntime","NewUIOptionWindow"
"INTERFACE_HELP","NewUI","System","Help","Browse help pages and topics; scroll; close","D-pad scroll/focus; A topic; LB/RB page; B close; pointer fallback","N/A","Focus and close immediate","PointerFallback","PendingRuntime","NewUIHelpWindow"
"INTERFACE_ITEM_EXPLANATION","NewUI","Inventory","Item tooltip","Inspect item properties, requirements and options","Y details; D-pad scroll where applicable; B close tooltip","N/A","Focus immediate","SemanticKeys+PointerFallback","PendingRuntime","NewUIItemExplanationWindow"
"INTERFACE_SETITEM_EXPLANATION","NewUI","Inventory","Set item tooltip","Inspect set pieces and bonuses; scroll; close","Y details; D-pad scroll; B close tooltip","N/A","Focus immediate","SemanticKeys+PointerFallback","PendingRuntime","NewUISetItemExplanation"
"INTERFACE_QUICK_COMMAND","NewUI","Social","Quick target command","Choose party, trade, duel, guild, whisper or follow command","D-pad or left stick focus; A execute; X alternate; B close; pointer fallback","N/A","Command result server-confirmed where applicable","PointerFallback","PendingRuntime","NewUIQuickCommandWindow"
"INTERFACE_KANTURU_INFO","NewUI","Event","Kanturu event information","Review state, timers and requirements; close","D-pad scroll; A acknowledge; B close; pointer fallback","N/A","Confirm/cancel immediate","PointerFallback","PendingRuntime","NewUIKanturuEvent"
"INTERFACE_CHATLOGWINDOW","NewUI","Social","Chat log","Browse messages; change channel/filter; scroll; select whisper target","D-pad scroll/focus; LB/RB channels; A select; X filter; B close; pointer fallback","Controller keyboard when opening reply","Focus immediate","ControllerKeyboard+PointerFallback","PendingRuntime","NewUIChatLogWindow"
"INTERFACE_PARTY_INFO_WINDOW","NewUI","Social","Party list","Browse party members; kick; leave; inspect","D-pad or left stick focus; A select; X kick/leave; Y details; B close; pointer fallback","N/A","Party result server-confirmed","PointerFallback","PendingRuntime","NewUIPartyListWindow"
"INTERFACE_BLOODCASTLE_TIME","NewUI","Event","Blood Castle HUD","View timer, score and objective state","No action required; B closes optional detail; pointer fallback","N/A","No action haptic; major event result server-confirmed","ReadOnlyReachable","PendingRuntime","NewUIBloodCastleTime"
"INTERFACE_CHAOSCASTLE_TIME","NewUI","Event","Chaos Castle HUD","View timer, survivors and score","No action required; B closes optional detail; pointer fallback","N/A","No action haptic; major event result server-confirmed","ReadOnlyReachable","PendingRuntime","NewUIChaosCastleTime"
"INTERFACE_BATTLE_SOCCER_SCORE","NewUI","Event","Battle Soccer HUD","View teams and score","No action required; B closes optional detail; pointer fallback","N/A","No action haptic; major event result server-confirmed","ReadOnlyReachable","PendingRuntime","NewUIBattleSoccerScore"
"INTERFACE_SLIDEWINDOW","NewUI","System","Tutorial slides","Read tutorial; previous/next; close","D-pad scroll; LB/RB previous/next; A continue; B close; pointer fallback","N/A","Page, confirm and cancel immediate","PointerFallback","PendingRuntime","NewUISlideWindow"
"INTERFACE_HERO_POSITION_INFO","NewUI","Navigation","Position HUD","View map name and coordinates","No action required; View opens map","N/A","No action haptic","ReadOnlyReachable","PendingRuntime","NewUIHeroPositionInfo"
"INTERFACE_MESSAGEBOX","NewUI","System","Message and confirmation dialogs","Confirm; reject; cancel; choose options; enter requested value","D-pad or left stick focus; A confirm; X secondary; B cancel; pointer fallback","Controller keyboard selected by requested field type","Confirm/cancel immediate; business result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","NewUIMessageBox"
"INTERFACE_DUEL_WINDOW","NewUI","Combat","Duel request and state","Accept/reject duel; stop duel; inspect opponent","D-pad or left stick focus; A accept; X reject/stop; Y details; B close; pointer fallback","N/A","Duel request/result server-confirmed","PointerFallback","PendingRuntime","NewUIDuelWindow"
"INTERFACE_CRYWOLF","NewUI","Event","Crywolf event","Review state; select statue; contract; close","D-pad or left stick focus; A contract/select; Y details; B close; pointer fallback","N/A","Contract and event result server-confirmed","PointerFallback","PendingRuntime","NewUICryWolf"
"INTERFACE_NAME_WINDOW","NewUI","System","Name entry dialog","Enter a player, shop, guild or target name; confirm/cancel","A focus; View next field; Menu submit; B cancel; pointer fallback","Controller keyboard with context-selected Chinese or ABC mode","Confirm immediate; business result server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","NewUINameWindow"
